scenario,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
augmented-downtown,vehev7,fuzzy,10105,7986.11,50360.73,8450.00,463.8900000000003,-1.1512206865136339,-15.122068651363385,False
augmented-downtown,vehev2,rfid,17651,879.66,16017.86,1375.00,495.34000000000003,1.2491303458154286,19.944303382750427,False
augmented-downtown,vehev3,allgreen,10105,1210.81,41829.44,1872.00,661.19,11.36800984464945,91.2033855207236,False
augmented-downtown,vehev7,tpn4,24847,5771.20,41024.41,6421.00,649.8000000000002,1.1933601330745773,16.20299922173565,False
augmented-downtown,vehev3,tpn4,21907,7405.12,86516.05,8067.00,661.8800000000001,1.6424055248260663,39.11369726390187,False
augmented-downtown,vehev1,allgreen,22760,32009.15,72565.96,32888.00,878.8499999999985,-1.0924337483281157,-9.243374832811568,False
augmented-downtown,vehev2,tpn4,21907,263.26,34387.74,759.00,495.74,4.1364430600926845,75.82464002350868,False
augmented-downtown,vehev3,tpn4,12811,2269.91,49660.81,2932.00,662.0900000000001,5.1919106924944165,80.739268080138,False
augmented-downtown,vehev3,allgreen,2094,664.57,34692.42,1326.00,661.43,19.096603819010788,94.76346679505131,False
augmented-downtown,vehev2,fuzzy,31737,1334.61,25157.55,1683.00,348.3900000000001,-1.0520088599512858,-5.200885995128579,False
augmented-downtown,vehev1,no-preemption,31737,25806.45,83982.75,26685.00,878.5499999999993,,,False
augmented-downtown,vehev3,allgreen,30616,693.59,33265.13,1355.00,661.41,18.28773482893352,94.5318542216728,False
augmented-downtown,vehev1,allgreen,16993,25560.12,66936.15,26438.00,877.880000000001,1.139292382038895,12.226219031642716,False
augmented-downtown,vehev1,allgreen,21907,27574.09,67820.16,28452.00,877.9099999999999,1.0103876501454807,1.0280856207996125,False
augmented-downtown,vehev1,kapusta2,10105,28389.10,68289.25,29267.00,877.9000000000015,-1.2005548354629514,-20.05548354629514,False
augmented-downtown,vehev2,tpn4,2094,223.39,43460.85,718.00,494.61,4.48122118268499,77.68465426647754,False
augmented-downtown,vehev2,tpn4,22760,239.41,34288.08,735.00,495.59000000000003,4.9237291675368615,79.69019078885977,False
augmented-downtown,vehev3,allgreen,20276,608.19,34450.88,1270.00,661.81,21.15159736266627,95.27222467951732,False
augmented-downtown,vehev7,rfid,6479,6394.57,35139.47,7044.00,649.4300000000003,1.73200387203518,42.263408520850675,False
augmented-downtown,vehev2,allgreen,21907,228.56,12997.19,724.00,495.44,4.764438221911096,79.01116661769028,False
augmented-downtown,vehev3,kapusta2,11718,11426.10,87629.36,12088.00,661.8999999999996,1.0943524037073018,8.621756884497822,False
augmented-downtown,vehev1,allgreen,2094,26213.70,66029.42,27092.00,878.2999999999993,-1.0163460904695625,-1.634609046956248,False
augmented-downtown,vehev2,rfid,20276,958.10,16573.42,1453.00,494.9,1.2318547124517274,18.821595607673014,False
augmented-downtown,vehev1,kapusta2,6479,32291.09,90857.36,33169.00,877.9099999999999,-1.3212350368738563,-32.123503687385636,False
augmented-downtown,vehev2,allgreen,12811,198.30,13391.10,694.00,495.7,5.955219364599093,83.20800731632964,False
augmented-downtown,vehev1,tpn4,21907,30938.67,120994.37,31817.00,878.3300000000017,-1.1104842982112322,-11.048429821123218,False
augmented-downtown,vehev2,allgreen,10105,238.63,13194.56,734.00,495.37,4.183086787076227,76.09420863345389,False
augmented-downtown,vehev7,fuzzy,2094,6707.49,39325.71,7171.00,463.5100000000002,-1.0209688982652256,-2.0968898265225633,False
augmented-downtown,vehev3,fuzzy,12811,10885.00,40098.23,11352.00,467.0,1.0826982085438677,7.638158804667217,False
augmented-downtown,vehev1,kapusta2,16993,32032.04,71368.60,32910.00,877.9599999999991,-1.099984375241454,-9.998437524145398,False
augmented-downtown,vehev2,kapusta2,16993,2763.44,24687.72,3259.00,495.55999999999995,-3.034079929732104,-203.40799297321038,False
augmented-downtown,vehev2,tpn4,30616,236.53,42486.77,732.00,495.47,4.214814188475034,76.27416167634638,False
augmented-downtown,vehev7,allgreen,24847,5463.23,38626.07,6113.00,649.7700000000004,1.2606315311637988,20.674679691946707,False
augmented-downtown,vehev3,fuzzy,2094,12512.18,45348.90,12983.00,470.8199999999997,1.014294071856383,1.409263077937728,False
augmented-downtown,vehev3,rfid,24847,1346.40,22384.49,2008.00,661.5999999999999,7.88355614973262,87.3153690922349,False
augmented-downtown,vehev3,tpn3,30616,784.80,35915.59,1447.00,662.2,16.162321610601428,93.8127700704578,False
augmented-downtown,vehev2,no-preemption,12811,1180.92,16691.85,1676.00,495.0799999999999,,,False
augmented-downtown,vehev7,rfid,31737,8903.64,49570.48,9553.00,649.3600000000006,-1.0856164634101733,-8.561646341017326,False
augmented-downtown,vehev3,no-preemption,20276,12864.19,91184.23,13526.00,661.8099999999995,,,False
augmented-downtown,vehev1,rfid,6479,23199.78,62075.04,24078.00,878.2200000000012,1.0534617138610798,5.074860638754053,False
augmented-downtown,vehev3,tpn4,11718,624.05,37509.04,1286.00,661.95,20.03714445957856,95.00926890047968,False
augmented-downtown,vehev3,allgreen,12811,842.24,38749.74,1504.00,661.76,13.992650550911854,92.85339116873155,False
augmented-downtown,vehev2,tpn3,12811,221.01,12708.37,716.00,494.99,5.343287634043709,81.28493039325272,False
augmented-downtown,vehev1,no-preemption,22760,29300.77,69680.58,30179.00,878.2299999999996,,,False
augmented-downtown,vehev2,kapusta2,10105,3211.82,24706.30,3707.00,495.17999999999984,-3.217579467246371,-221.75794672463712,False
augmented-downtown,vehev1,fuzzy,20276,31253.60,113101.19,31883.00,629.4000000000015,-1.1180935713268685,-11.809357132686849,False
augmented-downtown,vehev2,fuzzy,22760,1140.95,25226.64,1490.00,349.04999999999995,1.0331653446689162,3.2100713443446227,False
augmented-downtown,vehev3,allgreen,32668,1202.01,42675.39,1864.00,661.99,10.103534912355139,90.10247394922001,False
augmented-downtown,vehev1,fuzzy,32668,28272.55,112036.36,28900.00,627.4500000000007,1.0199295783365845,1.9540151359359381,False
augmented-downtown,vehev2,no-preemption,24847,1000.69,14774.48,1496.00,495.30999999999995,,,False
augmented-downtown,vehev7,no-preemption,30366,6983.55,43178.39,7632.00,648.4499999999998,,,False
