scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported
sp,1,veh11651,petri_lc!True,7006,123.10,,769.00,645.9,8.309260763606824,87.96523507386081,False
sp,1,veh11651,rfid_dd!1000_nc!5,30366,361.27,,1111.00,749.73,2.9781603786641573,66.42222470072126,False
sp,1,veh11651,allgreen,21866,103.46,,828.00,724.54,10.648559829885947,90.60905872742126,False
sp,1,veh11651,rfid_dd!250_nc!2,25627,484.64,,1214.00,729.36,2.0744676460878178,51.79486159324428,False
sp,1,veh11651,petri_lc!True,5224,142.96,,828.00,685.04,7.328483491885843,86.35461209529626,False
sp,1,veh11651,petri_lc!True,6426,104.97,,823.00,718.03,9.678003239020672,89.66729008760704,False
sp,1,veh11651,rfid_dd!1000_nc!2,6325,487.19,,1145.00,657.81,2.090416469960385,52.16264249874807,False
sp,1,veh11651,djahel_wc!start_el!medium,2094,965.39,,1735.00,769.61,1.0916313614187012,8.393983963562167,False
sp,1,veh11651,rfid_dd!250_nc!5,6325,709.84,,1367.00,657.16,1.43473177053984,30.30056066690886,False
sp,1,veh11651,petri_lc!False,31737,119.79,,997.00,877.21,10.95300108523249,90.87008216087679,False
sp,1,veh11651,kapusta2,31737,145.55,,1020.00,874.45,9.01449673651666,88.90675731292777,False
sp,1,veh11651,djahel_wc!start_el!high,27226,590.18,,1008.00,417.82000000000005,1.836236402453489,45.540781205304,False
sp,1,veh11651,allgreen,10105,110.89,,893.00,782.11,9.416809450807106,89.38069199314327,False
sp,1,veh11651,petri_lc!False,20276,106.15,,820.00,713.85,9.617145548751767,89.60190427678624,False
sp,1,veh11651,allgreen,16993,100.75,,841.00,740.25,10.043672456575683,90.04348255756499,False
sp,1,veh11651,djahel_wc!start_el!medium,32556,911.88,,1650.00,738.12,1.408266438566478,28.990709952732118,False
sp,1,veh11651,petri_lc!False,5224,118.38,,804.00,685.62,8.85014360533874,88.70074832009774,False
sp,1,veh11651,petri_lc!False,17651,151.51,,778.00,626.49,6.854729060788067,85.41153135110152,False
sp,1,veh11651,kapusta2,30366,101.38,,850.00,748.62,10.612744130992308,90.5773663469403,False
sp,1,veh11651,rfid_dd!1000_nc!2,21866,373.93,,1098.00,724.0699999999999,2.946273366672907,66.05881819006989,False
sp,1,veh11651,petri_lc!False,27422,117.68,,1024.00,906.3199999999999,10.899898028552006,90.8256022452639,False
sp,1,veh11651,allgreen,21907,112.34,,964.00,851.66,9.476766957450595,89.44787811613534,False
sp,1,veh11651,rfid_dd!1000_nc!5,15239,324.22,,1096.00,771.78,3.2477638640429336,69.20958413660149,False
sp,1,veh11651,djahel_wc!start_el!low,27548,234.96,,1112.00,877.04,5.5836312563840655,82.09050787770688,False
sp,1,veh11651,djahel_wc!start_el!medium,10950,686.91,,1401.00,714.09,1.4841682316460671,32.622193449666014,False
sp,1,veh11651,allgreen,30366,104.40,,853.00,748.6,10.305747126436781,90.29667633281285,False
sp,1,veh11651,rfid_dd!1000_nc!5,24847,418.85,,1065.00,646.15,2.4414706935657153,59.04108115508355,False
